Div,Date,HomeTeam,AwayTeam,FTHG+2,FTAG
E0,10/08/2018,Man United,Leicester,4,1
E0,11/08/2018,Bournemouth,Cardiff,4,0
E0,11/08/2018,Fulham,Crystal Palace,2,2
E0,11/08/2018,Huddersfield,Chelsea,2,3
E0,11/08/2018,Newcastle,Tottenham,3,2
E0,11/08/2018,Watford,Brighton,4,0
E0,11/08/2018,Wolves,Everton,4,2
E0,12/08/2018,Arsenal,Man City,2,2
E0,12/08/2018,Liverpool,West Ham,6,0
E0,12/08/2018,Southampton,Burnley,2,0
E0,18/08/2018,Cardiff,Newcastle,2,0
E0,18/08/2018,Chelsea,Arsenal,5,2
E0,18/08/2018,Everton,Southampton,4,1
E0,18/08/2018,Leicester,Wolves,4,0
E0,18/08/2018,Tottenham,Fulham,5,1
E0,18/08/2018,West Ham,Bournemouth,3,2
E0,19/08/2018,Brighton,Man United,5,2
E0,19/08/2018,Burnley,Watford,3,3
E0,19/08/2018,Man City,Huddersfield,8,1
E0,20/08/2018,Crystal Palace,Liverpool,2,2
E0,25/08/2018,Arsenal,West Ham,5,1
E0,25/08/2018,Bournemouth,Everton,4,2
E0,25/08/2018,Huddersfield,Cardiff,2,0
E0,25/08/2018,Liverpool,Brighton,3,0
E0,25/08/2018,Southampton,Leicester,3,2
E0,25/08/2018,Wolves,Man City,3,1
E0,26/08/2018,Fulham,Burnley,6,2
E0,26/08/2018,Newcastle,Chelsea,3,2
E0,26/08/2018,Watford,Crystal Palace,4,1
E0,27/08/2018,Man United,Tottenham,2,3
E0,01/09/2018,Brighton,Fulham,4,2
E0,01/09/2018,Chelsea,Bournemouth,4,0
E0,01/09/2018,Crystal Palace,Southampton,2,2
E0,01/09/2018,Everton,Huddersfield,3,1
E0,01/09/2018,Leicester,Liverpool,3,2
E0,01/09/2018,Man City,Newcastle,4,1
E0,01/09/2018,West Ham,Wolves,2,1
E0,02/09/2018,Burnley,Man United,2,2
E0,02/09/2018,Cardiff,Arsenal,4,3
E0,02/09/2018,Watford,Tottenham,4,1
E0,15/09/2018,Bournemouth,Leicester,6,2
E0,15/09/2018,Chelsea,Cardiff,6,1
E0,15/09/2018,Huddersfield,Crystal Palace,2,1
E0,15/09/2018,Man City,Fulham,5,0
E0,15/09/2018,Newcastle,Arsenal,3,2
E0,15/09/2018,Tottenham,Liverpool,3,2
E0,15/09/2018,Watford,Man United,3,2
E0,16/09/2018,Everton,West Ham,3,3
E0,16/09/2018,Wolves,Burnley,3,0
E0,17/09/2018,Southampton,Brighton,4,2
E0,22/09/2018,Brighton,Tottenham,3,2
E0,22/09/2018,Burnley,Bournemouth,6,0
E0,22/09/2018,Cardiff,Man City,2,5
E0,22/09/2018,Crystal Palace,Newcastle,2,0
E0,22/09/2018,Fulham,Watford,3,1
E0,22/09/2018,Leicester,Huddersfield,5,1
E0,22/09/2018,Liverpool,Southampton,5,0
E0,22/09/2018,Man United,Wolves,3,1
E0,23/09/2018,Arsenal,Everton,4,0
E0,23/09/2018,West Ham,Chelsea,2,0
E0,29/09/2018,Arsenal,Watford,4,0
E0,29/09/2018,Chelsea,Liverpool,3,1
E0,29/09/2018,Everton,Fulham,5,0
E0,29/09/2018,Huddersfield,Tottenham,2,2
E0,29/09/2018,Man City,Brighton,4,0
E0,29/09/2018,Newcastle,Leicester,2,2
E0,29/09/2018,West Ham,Man United,5,1
E0,29/09/2018,Wolves,Southampton,4,0
E0,30/09/2018,Cardiff,Burnley,3,2
E0,01/10/2018,Bournemouth,Crystal Palace,4,1
E0,05/10/2018,Brighton,West Ham,3,0
E0,06/10/2018,Burnley,Huddersfield,3,1
E0,06/10/2018,Crystal Palace,Wolves,2,1
E0,06/10/2018,Leicester,Everton,3,2
E0,06/10/2018,Man United,Newcastle,5,2
E0,06/10/2018,Tottenham,Cardiff,3,0
E0,06/10/2018,Watford,Bournemouth,2,4
E0,07/10/2018,Fulham,Arsenal,3,5
E0,07/10/2018,Liverpool,Man City,2,0
E0,07/10/2018,Southampton,Chelsea,2,3
E0,20/10/2018,Bournemouth,Southampton,2,0
E0,20/10/2018,Cardiff,Fulham,6,2
E0,20/10/2018,Chelsea,Man United,4,2
E0,20/10/2018,Huddersfield,Liverpool,2,1
E0,20/10/2018,Man City,Burnley,7,0
E0,20/10/2018,Newcastle,Brighton,2,1
